,id,StarName,Radius,Mass,DistanceData
117,117,2MASS J12074836-3900043,22.299571,0.016227996,1.71
118,118,2MASSI J1217110-031113 [de],3.6994679999999995,0.040092696000000004,0.94
121,121,2M 1237+6526,4.6859928,0.039138108,0.94
123,123,TWA 29,26.923906,0.0238647,2.0
124,124,SDSSp J125453.90-012247.4 [de],3.904994,0.044865636,0.98
125,125,Kelu-1A,6.268542999999999,0.060139044,0.98
126,126,Kelu-1B,6.268542999999999,0.055366104,0.98
127,127,2MASS J13204427+0409045,10.379062999999999,0.063957396,1.01
128,128,SDSSp J132629.82-003831.5 [de],6.679595,0.048683988000000004,0.97
129,129,SDSSp J134646.45-003150.4 [de],4.932624,0.042001872,0.94
130,130,2MASS J13595510-4034582,5.240913,0.060139044,1.0
131,131,ULAS J141623.94+134836.3,3.0520610999999995,0.030546816,0.96
132,132,SDSS J141659.78+500626.4 [de],15.311687,0.056320692,0.99
133,133,DENIS-P J142527.97-365023.4 [de],3.904994,0.020046348000000002,1.32
134,134,LHS 2924,3.9563754999999996,0.072548688,1.06
135,135,2MASS J14392837+1929150,4.829860999999999,0.068730336,1.03
136,136,LSPM J1440+1339,7.398935999999999,0.087822096,1.19
137,137,2MASS J14482563+1031590 [de],4.829860999999999,0.056320692,0.99
138,138,CFBDSIR 1458+10A,10.687351999999999,0.0105959268,1.5
139,139,CFBDSIR 1458+10B,10.687351999999999,0.008591292,1.3
140,140,TVLM 513-46546,3.6069812999999997,0.07159410000000001,1.05
141,141,2MASS 1503+2525,2.1271940999999996,0.042001872,0.94
142,142,CFBDS J150411+102717,7.296173,0.042001872,0.94
143,143,2MASSW J1506544+132106 [de],4.727098,0.065866572,1.02
144,144,2MASS 1507−1627,2.4560356999999997,0.057275280000000005,0.99
145,145,TVLM 868-110639,5.446439,0.075412452,1.08
147,147,2MASSW J1515008+484742 [de],3.4939419999999997,0.054411516,0.99
148,148,2MASSI J1526140+204341 [de],6.885121,0.051547752,0.98
149,149,DENIS-P J153941.96-052042.4 [de],5.240913,0.060139044,1.0
150,150,2MASS J15462718-3325111 [de],3.802231,0.042001872,0.94
151,151,2MASSW J1552591+294849 [de],6.987883999999999,0.028637640000000002,1.43
